Temperature,Humidity,Vibration,Days_Left,Center_A_Distance,Center_B_Distance,Road_Condition_A,Road_Condition_B,Capacity_A,Capacity_B,Travel_Time_A,Travel_Time_B,Travel_Time_Orig,Best_Center
18.10522511043659,47.01086944283389,1.1439917565671855,3.0960912159245177,25.3674986103903,39.4340376846689,0,0,74.78233984263757,37.781853292768886,0.422791643506505,0.6572339614111483,4.423301401316527,Center_A
42.88071517562639,46.053621939679985,1.6108646585999726,0.8929953580550173,67.49646263611477,107.24622019977954,0,0,67.36273244156503,71.3150664940025,1.124941043935246,1.7874370033296592,6.1014849999482585,Dump
33.475739497890416,88.90654773386738,1.520321859580318,1.0164490752646058,81.76254287778838,57.87881248666683,1,0,87.0910886361038,77.7177113078692,inf,0.9646468747777805,2.608448877425185,Center_B
27.742314820472572,46.220502990217895,0.30779980938754736,3.285293634407277,86.25702063092754,117.41677142759329,0,0,73.92119268718595,95.40310057518612,1.437617010515459,1.9569461904598882,2.7977136245958016,Center_A
8.708801539024769,47.676732198361016,0.2984989394829478,9.946162139066328,33.642431151502024,40.607409781179314,0,0,30.017671814339348,84.6142447799733,0.5607071858583671,0.6767901630196552,2.8382611438949503,Center_A
8.707764374456714,79.36088705716764,0.5363487354898266,5.223145487228431,91.79352400625389,116.2426055009253,0,0,83.42220699268171,75.06930419680828,1.5298920667708982,1.937376758348755,2.2731529987984613,Center_A
4.497595323232577,59.2330897592851,0.7221494526820744,7.57223001000264,72.49168734779538,38.19106261942653,0,0,82.27936849072827,38.17686217684859,1.208194789129923,0.6365177103237756,5.247973155618823,Center_B
39.245574268322216,80.48618620208677,0.8169111628169652,0.9722954746066164,90.54838406565463,50.79325241523535,1,1,65.68058938965368,56.16134617820272,inf,inf,6.763806356261815,Dump
27.847945504957977,34.24880024168504,1.3593944336666905,2.380619667804188,58.82245736881586,34.19219478778874,0,0,93.20432812631377,39.71891497835897,0.9803742894802644,0.5698699131298124,5.662467222161997,Center_B
32.44712084522996,61.69212758876998,0.11336086433167081,1.9927674067326429,63.36266760777616,93.46018319750954,0,0,93.59123439832811,91.68489127258596,1.0560444601296026,1.5576697199584923,5.449729313317137,Dump
2.885133254719505,32.18488401191337,0.06934540845213277,17.035572256197256,93.52306216229368,106.52688629146127,0,1,66.67381736930781,82.473480889455,1.5587177027048946,inf,6.083743570416418,Center_A
43.70612364296576,34.072458224598044,0.783821125887818,0.9155109244659702,91.99276346837374,69.06639736343823,0,1,72.55917618375764,83.02757507580606,1.5332127244728957,inf,4.0378719384320885,Dump
37.79503355441813,88.9184344673867,1.394327384275961,1.4477420447575162,55.85286986952016,113.56698675381867,0,0,99.75654503472707,75.6579562441481,0.9308811644920028,1.8927831125636445,4.171724429889373,Dump
11.130581759165874,39.05094912264369,0.38687068591296514,9.447871910944217,41.95301053085454,83.12691645800396,0,0,50.91741643679923,65.49304758556968,0.6992168421809091,1.3854486076333994,3.8856205893255353,Center_A
9.818473589905327,64.60734434788911,1.2830089625125034,5.510223536948841,51.45363476514113,86.7006421901871,1,0,52.72320696180341,40.497974162444805,inf,1.445010703169785,6.272653597121454,Center_B
9.886393923697653,56.72121416904592,0.5196562758805989,5.272448168905692,51.02114628237998,106.08772815306929,1,1,42.794173186444745,53.07864206935362,inf,inf,2.9698420140246458,Original
15.082416447260123,52.577316206824776,1.7721722176270327,3.7864430111621186,42.94934999862352,56.7120184546655,0,0,92.71068574105075,39.58410547338234,0.7158224999770586,0.9452003075777583,2.0781516818775465,Center_B
24.564526560186227,88.48916746967271,1.791379888533233,1.6691007154158553,41.48636834663733,61.88391491948632,0,1,82.11418729644863,80.74391999966403,0.6914394724439554,inf,5.577178680334955,Center_A
